

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
="084400","日盛ZH","200000","2","208000","1.04","1.04","1.04","1.04","+","0.03","1.02","25","1.03","25","44.8"
="084401","日盛ZJ","0","0","0","--","--","--","--"," ","0","0.67","25","0.68","25","36.65"
="084402","日盛ZK","30000","2","24600","0.82","0.82","0.82","0.82","-","0.03","0.8","25","0.81","25","80.1"
="084403","兆豐FX","0","0","0","--","--","--","--"," ","0","2.14","10","--","0","2680"
="084404","兆豐FZ","0","0","0","--","--","--","--"," ","0","1.46","10","1.47","30","30.95"
="084405","兆豐GA","10000","1","22500","2.25","2.25","2.25","2.25","+","0.03","2.14","10","2.15","30","69"
="084406","BP第一","8000","2","8000","0.99","1.01","0.99","1.01","-","0.05","1.08","10","1.11","10","52"
="084407","統一5P","717000","22","797590","1.08","1.15","1.08","1.12","+","0.02","1.13","10","1.14","10","458"
="084408","統一5Q","0","0","0","--","--","--","--"," ","0","1.79","20","1.82","20","2680"
="084409","統一5R","20000","2","14350","0.72","0.72","0.71","0.71"," ","0","0.66","10","0.67","10","36.6"
="084410","富邦M7","0","0","0","--","--","--","--"," ","0","8.7","10","9.1","10","30.68"
="084411","富邦M8","136000","9","79640","0.63","0.63","0.58","0.6","-","0.01","0.6","10","0.61","10","38.5"
="084412","富邦M9","802000","6","829860","1","1.05","1","1.03","+","0.03","1.03","10","1.04","10","458"
="084413","富邦N1","30000","2","42600","1.42","1.42","1.42","1.42","X","0","1.41","30","1.43","30","147.5"
="084414","富邦N2","0","0","0","--","--","--","--"," ","0","0.35","14","0.36","13","33.25"
="084415","富邦N3","0","0","0","--","--","--","--"," ","0","2.68","10","2.78","10","17.11"
="084416","永昌G6","0","0","0","--","--","--","--"," ","0","1.87","10","1.91","10","147.5"
="084417","永昌G7","0","0","0","--","--","--","--"," ","0","0.5","10","0.51","10","99.8"
="084418","永昌G8","0","0","0","--","--","--","--"," ","0","0.34","10","0.35","10","20.5"
="084419","永昌G9","293000","8","131580","0.46","0.47","0.43","0.46","+","0.08","0.45","10","0.46","10","29.25"
="084420","永昌H1","0","0","0","--","--","--","--"," ","0","1.19","110","1.23","10","10.5"
="084421","國票KT","155000","3","155400","1.01","1.01","0.98","0.98","X","0","0.97","25","0.98","25","0.00"
="084422","國票KU","0","0","0","--","--","--","--"," ","0","1.15","998","1.17","10","0.00"
="084423","元富5G","0","0","0","--","--","--","--"," ","0","0.55","25","0.56","25","31.7"
="084424","元富5H","139000","3","127440","0.96","0.96","0.9","0.9","-","0.28","0.9","25","0.91","25","254.5"
="084425","元富5J","88000","5","66790","0.77","0.77","0.75","0.75","-","0.03","0.75","25","0.76","25","32.05"
="084426","元富5K","1255000","24","1758720","1.33","1.45","1.33","1.34","+","0.01","1.35","25","1.36","25","44.8"
="084427","AA永豐","0","0","0","--","--","--","--"," ","0","0.24","75","0.25","50","25.05"
="084428","AB永豐","135000","6","219650","1.6","1.65","1.6","1.65","+","0.31","1.65","25","1.68","10","22.7"
="084429","AC永豐","1223000","18","548030","0.47","0.47","0.41","0.47","+","0.02","0.46","592","0.47","240","173"
="084430","AD永豐","32000","3","41560","1.31","1.31","1.24","1.24","-","0.11","1.3","499","1.33","50","40.4"
="084431","AE永豐","0","0","0","--","--","--","--"," ","0","0.83","499","0.84","49","140.5"
="084432","AF永豐","51000","2","20380","0.4","0.4","0.38","0.38","X","0","0.39","499","0.4","250","21.8"
="084433","AG永豐","1202000","26","724090","0.6","0.64","0.57","0.62","+","0.02","0.63","100","0.64","100","458"
="084434","AH永豐","331000","16","424740","1.25","1.32","1.21","1.24","+","0.04","1.22","499","1.23","10","44.8"
="084435","AI永豐","30000","1","18600","0.62","0.62","0.62","0.62","X","0","0.61","499","0.62","130","32.05"
="084436","AJ永豐","60000","2","51550","0.85","0.86","0.85","0.86","-","0.04","0.85","499","0.86","50","48.4"
="084437","AK永豐","0","0","0","--","--","--","--"," ","0","1.48","499","1.51","10","256.5"
="084438","N9永豐","10000","1","5800","0.58","0.58","0.58","0.58"," ","0","0.54","100","0.56","100","14.55"
="084439","群益K8","233000","4","75140","0.33","0.34","0.32","0.34","+","0.01","0.33","25","0.34","10","47.6"
="084440","群益K9","0","0","0","--","--","--","--"," ","0","3.34","25","3.39","10","2680"
="084441","群益L1","178000","9","449020","2.49","2.57","2.45","2.45","+","0.11","2.42","25","2.49","10","44.8"
="084442","群益L2","253000","11","262900","1.02","1.12","1.01","1.09","+","0.07","1.09","25","1.1","10","72"
="084443","凱基A3","227000","6","182750","0.71","0.88","0.71","0.88","X","0","0.86","30","0.87","30","140.5"
="084444","凱基A4","10000","1","8600","0.86","0.86","0.86","0.86","-","0.08","0.85","30","0.86","30","32.05"
="084445","凱基A6","570000","7","1290600","2.24","2.32","2.2","2.28","-","0.07","2.24","30","2.28","30","16.6"
="084446","凱基A7","1419000","28","2317150","1.62","1.71","1.59","1.65","-","0.28","1.66","17","1.68","30","16.6"
="084447","凱基A8","14000","2","21840","1.56","1.56","1.56","1.56","X","0","1.5","30","1.55","30","66.2"
="084448","凱基A9","100000","1","119000","1.19","1.19","1.19","1.19","-","0.03","1.15","30","1.17","30","17.4"
="084449","凱基B3","10000","1","19000","1.9","1.9","1.9","1.9","-","0.04","1.87","30","1.91","30","17.05"
="084450","凱基B4","333000","5","149640","0.45","0.45","0.44","0.44","+","0.01","0.43","30","0.44","30","21.8"
="084451","凱基B5","0","0","0","--","--","--","--"," ","0","0.61","30","0.62","30","48.4"
="084452","工銀FE","0","0","0","--","--","--","--"," ","0","--","0","--","0","32.05"
="084453","BQ第一","30000","1","9900","0.33","0.33","0.33","0.33","X","0","0.31","10","0.32","10","105"
="084454","BR第一","0","0","0","--","--","--","--"," ","0","1.19","10","1.2","10","48.4"
="084455","BS第一","10000","1","4200","0.42","0.42","0.42","0.42","X","0","0.42","10","0.43","10","21.8"
="084456","BT第一","0","0","0","--","--","--","--"," ","0","0.8","10","0.81","10","32.05"
="084457","統一5S","278000","2","360680","1.26","1.31","1.26","1.31","+","0.11","1.34","20","1.35","20","45.9"
="084458","統一5T","0","0","0","--","--","--","--"," ","0","1.79","20","1.84","10","256.5"
="084459","統一5U","10000","1","6500","0.65","0.65","0.65","0.65"," ","0","0.64","10","0.65","10","32.05"
="084460","統一5V","1000","1","880","0.88","0.88","0.88","0.88","X","0","0.88","20","0.89","20","48.4"
="084461","富邦N8","0","0","0","--","--","--","--"," ","0","0.96","30","0.98","30","135.5"
="084462","富邦N9","5000","1","1650","0.33","0.33","0.33","0.33","X","0","0.33","10","0.34","10","21.8"
="084463","富邦AA","30000","3","27300","0.91","0.91","0.91","0.91","-","0.01","0.89","10","0.9","10","99.8"
="084464","4W元大","278000","4","406400","1.45","1.51","1.45","1.48","-","0.1","1.51","100","1.53","100","16.6"
="084465","4X元大","262000","11","424610","1.69","1.69","1.61","1.61","-","0.07","1.64","100","1.66","101","17.05"
="084466","4Y元大","777000","26","599860","0.8","0.81","0.74","0.79","-","0.27","0.83","100","0.84","100","254.5"
="084467","4Z元大","66000","3","33660","0.51","0.51","0.51","0.51","-","0.03","0.51","100","0.52","100","48.4"
="084468","5A元大","0","0","0","--","--","--","--"," ","0","0.32","100","0.33","100","80.5"
="084469","5B元大","251000","13","182130","0.74","0.74","0.7","0.7","-","0.05","0.73","100","0.74","100","22.7"
="08446P","群益FN","0","0","0","--","--","--","--"," ","0","--","0","0.03","190","0.00"
="084470","5C元大","189000","17","61070","0.33","0.34","0.31","0.33","+","0.01","0.33","86","0.35","143","156.5"
="084471","5D元大","836000","15","356730","0.44","0.44","0.42","0.43","-","0.01","0.41","100","0.42","100","33.25"
="084472","國泰G8","0","0","0","--","--","--","--"," ","0","0.87","499","0.88","10","90.3"
="084473","國泰G9","157000","9","278050","1.87","1.87","1.68","1.75","-","0.39","1.81","30","1.83","30","254.5"
="084474","日盛ZL","260000","10","263370","1.02","1.02","1","1.02","+","0.03","1","401","1.02","300","22.95"
="084475","日盛ZM","0","0","0","--","--","--","--"," ","0","1.47","25","1.48","25","45.9"
="084476","日盛ZN","109000","2","197820","1.8","1.83","1.8","1.83","+","0.25","1.8","499","1.82","299","218.5"
="084477","中信DU","50000","4","215800","4.27","4.4","4.27","4.4","X","0","4.43","10","4.46","30","84.5"
="084478","中信DV","0","0","0","--","--","--","--"," ","0","0.21","30","0.22","30","168"
="084479","國票KV","44000","1","66440","1.51","1.51","1.51","1.51","-","0.43","1.56","998","1.57","25","0.00"
="08447P","群益FP","0","0","0","--","--","--","--"," ","0","--","0","--","0","0.00"
="084480","國票KW","210000","2","107500","0.51","0.55","0.51","0.55","-","0.14","0.58","998","0.59","25","0.00"
="084481","元富5N","565000","19","367910","0.68","0.68","0.61","0.67","+","0.02","0.66","25","0.67","25","173"
="084482","元富5P","1285000","28","1061860","0.77","0.86","0.77","0.85","+","0.02","0.83","25","0.84","25","458"
="084483","元富5Q","100000","1","22000","0.22","0.22","0.22","0.22","-","0.03","0.22","25","0.23","25","168"
="084484","元富5R","133000","12","139410","1.1","1.1","0.98","1.05","-","0.27","1.04","25","1.05","45","254.5"
="084485","元富5S","0","0","0","--","--","--","--"," ","0","0.97","25","0.98","25","32.05"
="084486","凱基B8","10000","1","18500","1.85","1.85","1.85","1.85","-","0.04","1.84","30","1.88","30","15.65"
="084487","凱基B9","343000","12","708200","2.32","2.32","2.02","2.08","-","0.12","2.09","30","2.11","30","53.5"
="084488","凱基C1","357000","11","953690","2.8","2.8","2.4","2.45","-","0.02","2.61","30","2.63","30","41.9"
="084489","凱基C2","0","0","0","--","--","--","--"," ","0","0.35","30","0.36","30","98.5"
="08448P","群益FQ","0","0","0","--","--","--","--"," ","0","--","0","0.03","100","0.00"
="084490","凱基C3","88000","4","29140","0.34","0.34","0.33","0.33","-","0.02","0.33","30","0.34","30","16.75"
="084491","工銀FF","0","0","0","--","--","--","--"," ","0","1.64","73","1.72","50","22.7"
="084492","工銀FG","0","0","0","--","--","--","--"," ","0","1.33","90","1.41","50","202"
="084493","工銀FH","0","0","0","--","--","--","--"," ","0","1.4","85","1.46","10","288"
="084494","工銀FJ","0","0","0","--","--","--","--"," ","0","2.98","40","3.05","20","58.2"
="084495","5E元大","904000","25","1199130","1.3","1.38","1.3","1.35","+","0.1","1.34","100","1.35","100","288"
="084496","5F元大","110000","3","39300","0.38","0.38","0.35","0.35","-","0.03","0.34","100","0.35","100","31.7"
="084497","5G元大","10000","1","13100","1.31","1.31","1.31","1.31","+","0.05","1.22","100","1.25","100","15.65"
="084498","5H元大","3000","2","4790","1.6","1.6","1.59","1.59","+","0.07","1.56","100","1.58","10","44.8"
="084499","5I元大","0","0","0","--","--","--","--"," ","0","1.81","100","1.91","100","256.5"
="08449P","群益FR","0","0","0","--","--","--","--"," ","0","0.05","25","0.06","10","0.00"
="084500","5J元大","210000","3","60900","0.29","0.29","0.29","0.29"," ","0","0.29","100","0.3","100","21.8"
="084501","國泰H2","378000","10","592480","1.57","1.59","1.54","1.56","-","0.04","1.55","330","1.57","150","43.3"
="084502","國泰H3","141000","8","205720","1.5","1.5","1.42","1.45","-","0.17","1.45","340","1.47","120","109"
="084503","AN永豐","0","0","0","--","--","--","--"," ","0","2.74","300","2.79","10","17.11"
="084504","AP永豐","10000","1","6500","0.65","0.65","0.65","0.65"," ","0","0.63","200","0.65","60","17.3"
="084505","AQ永豐","429000","15","296650","0.72","0.72","0.67","0.7","-","0.05","0.69","399","0.7","199","109"
="084506","兆豐GB","280000","8","199850","0.72","0.72","0.71","0.71","+","0.01","0.7","10","0.71","30","21.8"
="084507","兆豐GC","411000","11","494370","1.19","1.24","1.19","1.19","+","0.07","1.17","10","1.18","30","44.8"
="084508","兆豐GD","120000","7","173100","1.43","1.47","1.43","1.43"," ","0","1.39","10","1.41","10","43.3"
="084509","兆豐GE","2000","1","2720","1.36","1.36","1.36","1.36","+","0.05","1.34","10","1.36","10","44.8"
="08450P","GD兆豐","0","0","0","--","--","--","--"," ","0","--","0","0.04","10","0.00"
="084510","兆豐GF","0","0","0","--","--","--","--"," ","0","0.79","10","0.8","30","32.05"
="084511","群益L5","0","0","0","--","--","--","--"," ","0","6.8","10","7.25","10","30.68"
="084512","群益L6","140000","1","44800","0.32","0.32","0.32","0.32","X","0","0.32","25","0.33","10","90.3"
="084513","群益L7","0","0","0","--","--","--","--"," ","0","1.99","25","2.03","10","41.9"
="084514","群益L8","8000","2","8200","1.02","1.03","1.02","1.03","-","0.02","1.03","25","1.05","10","147.5"
="084515","群益L9","0","0","0","--","--","--","--"," ","0","1.25","25","1.26","10","7.6"
="084516","群益M1","1000","1","850","0.85","0.85","0.85","0.85","-","0.03","0.85","25","0.86","10","7.6"
="084517","群益M2","500000","2","2925150","5.85","6","5.85","6","+","1.01","5.9","25","6","10","84.5"
="084518","群益M3","21000","2","12720","0.62","0.62","0.6","0.6","X","0","0.57","25","0.58","10","29.35"
="084519","日盛ZP","312000","2","484200","1.54","1.6","1.54","1.6","+","0.09","1.6","499","1.62","299","288"
="08451P","GE兆豐","0","0","0","--","--","--","--"," ","0","--","0","0.02","10","0.00"
="084520","日盛ZQ","809000","19","932040","1.14","1.18","1.12","1.13","-","0.04","1.13","25","1.14","25","43.3"
="084521","日盛ZR","30000","3","29300","0.99","0.99","0.97","0.97","-","0.03","1","495","1.02","50","256.5"
="084522","日盛ZS","0","0","0","--","--","--","--"," ","0","0.5","100","0.51","100","90.3"
="084523","BU第一","0","0","0","--","--","--","--"," ","0","1.66","10","1.68","10","15.65"
="084524","BV第一","0","0","0","--","--","--","--"," ","0","1.74","10","1.78","10","41.9"
="084525","BW第一","0","0","0","--","--","--","--"," ","0","0.78","10","0.79","10","22.95"
="084526","BX第一","0","0","0","--","--","--","--"," ","0","0.81","10","0.83","10","10.8"
="084527","統一5W","2078000","43","2891680","1.33","1.43","1.33","1.41","+","0.05","1.4","168","1.41","25","458"
="084528","統一5X","20000","2","38200","1.91","1.91","1.91","1.91","-","0.01","1.91","20","1.94","10","256.5"
="084529","統一5Y","10000","1","5700","0.57","0.57","0.57","0.57","+","0.01","0.57","4","0.59","108","32.05"
="08452P","HH兆豐","349000","5","48860","0.14","0.14","0.14","0.14","-","0.03","0.16","10","0.17","10","0.00"
="084530","富邦AD","41000","3","61480","1.49","1.51","1.48","1.51","-","0.02","1.48","10","1.5","10","323.5"
="084531","富邦AE","255000","8","144350","0.57","0.6","0.55","0.55","-","0.02","0.59","10","0.6","10","458"
="084532","富邦AF","0","0","0","--","--","--","--"," ","0","1.24","30","1.26","30","147.5"
="084533","富邦AG","40000","2","11800","0.29","0.3","0.29","0.3","-","0.09","0.31","10","0.32","13","168"
="084534","富邦AH","424000","17","443920","1.08","1.08","1.02","1.05","-","0.03","1.04","10","1.05","15","17.05"
="084535","富邦AJ","398000","33","391250","0.92","1.03","0.92","0.98","+","0.13","0.97","10","1","12","22.4"
="084536","富邦AK","1000","1","1050","1.05","1.05","1.05","1.05","+","0.06","1.02","13","1.05","13","173"
="084537","玉山8E","0","0","0","--","--","--","--"," ","0","0.14","113","0.15","113","0.00"
="084538","玉山8F","0","0","0","--","--","--","--"," ","0","0.25","10","0.26","10","0.00"
="084539","玉山8G","687000","17","472320","0.7","0.7","0.66","0.68","-","0.05","0.67","10","0.69","10","0.00"
="08453P","HJ兆豐","0","0","0","--","--","--","--"," ","0","0.23","10","0.24","30","0.00"
="084540","玉山8H","0","0","0","--","--","--","--"," ","0","0.43","50","0.44","13","0.00"
="084541","日盛ZT","82000","1","111520","1.36","1.36","1.36","1.36","+","0.03","1.25","25","1.27","25","148.5"
="084542","日盛ZU","867000","26","748580","0.81","0.89","0.81","0.88","-","0.01","0.87","25","0.88","25","458"
="084543","日盛ZV","50000","2","19700","0.4","0.4","0.39","0.39"," ","0","0.39","25","0.4","25","16.75"
="084544","凱基C4","860000","13","990380","1.1","1.22","1.09","1.22","+","0.15","1.21","30","1.22","21","45.9"
="084545","凱基C5","0","0","0","--","--","--","--"," ","0","0.35","30","0.36","30","168"
="084546","凱基C6","302000","7","121820","0.41","0.41","0.4","0.4","-","0.01","0.38","30","0.39","30","44"
="084547","凱基C7","36000","3","27200","0.75","0.76","0.75","0.76","X","0","0.75","30","0.76","30","14.15"
="084548","凱基C8","0","0","0","--","--","--","--"," ","0","2.64","30","2.69","30","84.5"
="084549","凱基C9","0","0","0","--","--","--","--"," ","0","5.75","30","5.8","30","2680"
="08454P","HK兆豐","0","0","0","--","--","--","--"," ","0","0.06","10","0.09","73","0.00"
="084550","亞東AP","0","0","0","--","--","--","--"," ","0","3.66","10","3.76","10","22.4"
="084551","亞東AQ","0","0","0","--","--","--","--"," ","0","0.35","10","0.36","10","7.67"
="084552","國票KY","0","0","0","--","--","--","--"," ","0","2.04","998","2.08","25","0.00"
="084553","國票KZ","0","0","0","--","--","--","--"," ","0","1.5","25","1.52","25","0.00"
="084554","國票LA","0","0","0","--","--","--","--"," ","0","0.96","998","0.97","25","0.00"
="084555","元富5T","204000","9","649680","3.15","3.26","3.13","3.19","+","0.3","3.12","25","3.14","20","84.5"
="084556","元富5U","12000","2","10760","0.9","0.9","0.88","0.88","-","0.02","0.87","25","0.88","25","14.55"
